Date,Creative,"Creative ID","Total Ads Requested"
2025-12-29,C02GUG3-4333815-WDW_FY25_ENG_TyphLagoonQ3RefreshDigitalBannersDOMNOOFF_160x600,5277562,7510
2025-12-29,C02GUG3-4333815-WDW_FY25_ENG_TyphLagoonQ3RefreshDigitalBannersDOMNOOFF_300x250,5277563,48508
2025-12-29,C02GUG3-4333815-WDW_FY25_ENG_TyphLagoonQ3RefreshDigitalBannersDOMNOOFF_300x600,5277564,3543
2025-12-29,C02GUG3-4333815-WDW_FY25_ENG_TyphLagoonQ3RefreshDigitalBannersDOMNOOFF_320x50,5141976,67630
2025-12-29,C02GUG3-4333815-WDW_FY25_ENG_TyphLagoonQ3RefreshDigitalBannersDOMNOOFF_728x90,5277566,26547
2025-12-29,C069J2O-4903500-WDW_FY25_ENG_RoomOnlyActivateFLRESQ2ResortOffer_160x600,5695193,16181
2025-12-29,C069J2O-4903500-WDW_FY25_ENG_RoomOnlyActivateFLRESQ2ResortOffer_300x250,5695194,151641
2025-12-29,C069J2O-4903500-WDW_FY25_ENG_RoomOnlyActivateFLRESQ2ResortOffer_300x600,5695195,10916
2025-12-29,C069J2O-4903500-WDW_FY25_ENG_RoomOnlyActivateFLRESQ2ResortOffer_320x50,5630505,86696
2025-12-29,C069J2O-4903500-WDW_FY25_ENG_RoomOnlyActivateFLRESQ2ResortOffer_728x90,5695196,32554
2025-12-29,C0P6NYH-3437252-WDW_FY23_ENG_AAscopeKidsBLKNOOFF_160x600,4507668,12467
2025-12-29,C0P6NYH-3437252-WDW_FY23_ENG_AAscopeKidsBLKNOOFF_300x250,4507669,307458
2025-12-29,C0P6NYH-3437252-WDW_FY23_ENG_AAscopeKidsBLKNOOFF_300x600,4507670,40102
2025-12-29,C0P6NYH-3437252-WDW_FY23_ENG_AAscopeKidsBLKNOOFF_320x50,4475225,163176
2025-12-29,C0P6NYH-3437252-WDW_FY23_ENG_AAscopeKidsBLKNOOFF_728x90,4507671,52985
2025-12-29,C0PMSIV-4436101-WDW_FY25_ENG_InfiniteMagicoriginallogoCANNOOFFCNE_320x50.jpg,5210743,1
2025-12-29,C1BW5BH-4647451-DCL_FY25_ENG_INSPIREV1DOMNOOFF_160x600,5595927,2002
2025-12-29,C1BW5BH-4647451-DCL_FY25_ENG_INSPIREV1DOMNOOFF_300x250,5595928,15793
2025-12-29,C1BW5BH-4647451-DCL_FY25_ENG_INSPIREV1DOMNOOFF_300x600,5595929,1418
2025-12-29,C1BW5BH-4647451-DCL_FY25_ENG_INSPIREV1DOMNOOFF_320x50,5566683,26449
2025-12-29,C1BW5BH-4647451-DCL_FY25_ENG_INSPIREV1DOMNOOFF_728x90,5595930,6332
2025-12-29,C1MWHHC-5157450-DLR_FY26_ENG_TicketOfferGeneric_160x600,5812770,27429
2025-12-29,C1MWHHC-5157450-DLR_FY26_ENG_TicketOfferGeneric_300x250,5812771,370339
2025-12-29,C1MWHHC-5157450-DLR_FY26_ENG_TicketOfferGeneric_300x600,5812773,32888
2025-12-29,C1MWHHC-5157450-DLR_FY26_ENG_TicketOfferGeneric_320x50,5778324,229792
2025-12-29,C1MWHHC-5157450-DLR_FY26_ENG_TicketOfferGeneric_728x90,5812775,92090
2025-12-29,C1RT0J8-4868851-WDW_FY26_ENG_Q2OfferTransactStaticTSBDomesticQ2Package_160x600,5595666,203127
2025-12-29,C1RT0J8-4868851-WDW_FY26_ENG_Q2OfferTransactStaticTSBDomesticQ2Package_300x250,5595667,1776052
2025-12-29,C1RT0J8-4868851-WDW_FY26_ENG_Q2OfferTransactStaticTSBDomesticQ2Package_300x600,5595668,214109
2025-12-29,C1RT0J8-4868851-WDW_FY26_ENG_Q2OfferTransactStaticTSBDomesticQ2Package_320x50,5522069,1451579
2025-12-29,C1RT0J8-4868851-WDW_FY26_ENG_Q2OfferTransactStaticTSBDomesticQ2Package_728x90,5595669,497910
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALECAN_320x50,5790738,111447
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALECANNOOF_160x600,5796285,6869
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALECANNOOF_300x250,5796286,143425
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALECANNOOF_300x600,5796287,33588
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALECANNOOF_728x90,5796288,44004
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALEDOMNOOF_160x600,5776969,3866
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALEDOMNOOF_300x250,5776970,42810
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALEDOMNOOF_300x600,5776971,5444
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALEDOMNOOF_320x50,5790739,38040
2025-12-29,C1SCXWS-5020601-DCL_FY26_ENG_DESTINYNOWSAILINGFTLAUDERDALEDOMNOOF_728x90,5776972,11605
2025-12-29,C1SCXWS-5020601-DCL_FY26_FRE_DESTINYNOWSAILINGFTLAUDERDALE_320x50,5790740,11877
2025-12-29,C1SCXWS-5020601-DCL_FY26_FRE_DESTINYNOWSAILINGFTLAUDERDALECANNOOF_160x600,5796223,2701
2025-12-29,C1SCXWS-5020601-DCL_FY26_FRE_DESTINYNOWSAILINGFTLAUDERDALECANNOOF_300x250,5796225,9933
2025-12-29,C1SCXWS-5020601-DCL_FY26_FRE_DESTINYNOWSAILINGFTLAUDERDALECANNOOF_300x600,5796226,3136
2025-12-29,C1SCXWS-5020601-DCL_FY26_FRE_DESTINYNOWSAILINGFTLAUDERDALECANNOOF_728x90,5796228,6504
2025-12-29,C1XBHJ4-5080551-NGE_FY26_ENG_ExpeditionCruiseQ1ExpeditionCruiseIcelandDOMNOOFF_160x600,5699555,2012
